-1(37777777777):-1
0(    0):^@
265(  411):KEY_F(1)
266(  412):KEY_F(2)
267(  413):KEY_F(3)
268(  414):KEY_F(4)
269(  415):KEY_F(5)
270(  416):KEY_F(6)
271(  417):KEY_F(7)
272(  420):KEY_F(8)
273(  421):KEY_F(9)
274(  422):KEY_F(10)
275(  423):KEY_F(11)
276(  424):KEY_F(12)
277(  425):KEY_F(13)
278(  426):KEY_F(14)
279(  427):KEY_F(15)
280(  430):KEY_F(16)
281(  431):KEY_F(17)
282(  432):KEY_F(18)
283(  433):KEY_F(19)
284(  434):KEY_F(20)
285(  435):KEY_F(21)
286(  436):KEY_F(22)
287(  437):KEY_F(23)
288(  440):KEY_F(24)
289(  441):KEY_F(25)
290(  442):KEY_F(26)
291(  443):KEY_F(27)
292(  444):KEY_F(28)
293(  445):KEY_F(29)
294(  446):KEY_F(30)
295(  447):KEY_F(31)
296(  450):KEY_F(32)
297(  451):KEY_F(33)
298(  452):KEY_F(34)
299(  453):KEY_F(35)
300(  454):KEY_F(36)
301(  455):KEY_F(37)
302(  456):KEY_F(38)
303(  457):KEY_F(39)
304(  460):KEY_F(40)
305(  461):KEY_F(41)
306(  462):KEY_F(42)
307(  463):KEY_F(43)
308(  464):KEY_F(44)
309(  465):KEY_F(45)
310(  466):KEY_F(46)
311(  467):KEY_F(47)
312(  470):KEY_F(48)
313(  471):KEY_F(49)
314(  472):KEY_F(50)
315(  473):KEY_F(51)
316(  474):KEY_F(52)
317(  475):KEY_F(53)
318(  476):KEY_F(54)
319(  477):KEY_F(55)
320(  500):KEY_F(56)
321(  501):KEY_F(57)
322(  502):KEY_F(58)
323(  503):KEY_F(59)
324(  504):KEY_F(60)
325(  505):KEY_F(61)
326(  506):KEY_F(62)
327(  507):KEY_F(63)
328(  510):KEY_DL
329(  511):KEY_IL
330(  512):KEY_DC
331(  513):KEY_IC
332(  514):KEY_EIC
333(  515):KEY_CLEAR
334(  516):KEY_EOS
335(  517):KEY_EOL
336(  520):KEY_SF
337(  521):KEY_SR
338(  522):KEY_NPAGE
339(  523):KEY_PPAGE
340(  524):KEY_STAB
341(  525):KEY_CTAB
342(  526):KEY_CATAB
343(  527):KEY_ENTER
344(  530):KEY_SRESET
345(  531):KEY_RESET
346(  532):KEY_PRINT
347(  533):KEY_LL
348(  534):KEY_A1
349(  535):KEY_A3
350(  536):KEY_B2
351(  537):KEY_C1
352(  540):KEY_C3
353(  541):KEY_BTAB
354(  542):KEY_BEG
355(  543):KEY_CANCEL
356(  544):KEY_CLOSE
357(  545):KEY_COMMAND
358(  546):KEY_COPY
359(  547):KEY_CREATE
360(  550):KEY_END
361(  551):KEY_EXIT
362(  552):KEY_FIND
363(  553):KEY_HELP
364(  554):KEY_MARK
365(  555):KEY_MESSAGE
366(  556):KEY_MOVE
367(  557):KEY_NEXT
368(  560):KEY_OPEN
369(  561):KEY_OPTIONS
370(  562):KEY_PREVIOUS
371(  563):KEY_REDO
372(  564):KEY_REFERENCE
373(  565):KEY_REFRESH
374(  566):KEY_REPLACE
375(  567):KEY_RESTART
376(  570):KEY_RESUME
377(  571):KEY_SAVE
378(  572):KEY_SBEG
379(  573):KEY_SCANCEL
380(  574):KEY_SCOMMAND
381(  575):KEY_SCOPY
382(  576):KEY_SCREATE
383(  577):KEY_SDC
384(  600):KEY_SDL
385(  601):KEY_SELECT
386(  602):KEY_SEND
387(  603):KEY_SEOL
388(  604):KEY_SEXIT
389(  605):KEY_SFIND
390(  606):KEY_SHELP
391(  607):KEY_SHOME
392(  610):KEY_SIC
393(  611):KEY_SLEFT
394(  612):KEY_SMESSAGE
395(  613):KEY_SMOVE
396(  614):KEY_SNEXT
397(  615):KEY_SOPTIONS
398(  616):KEY_SPREVIOUS
399(  617):KEY_SPRINT
400(  620):KEY_SREDO
401(  621):KEY_SREPLACE
402(  622):KEY_SRIGHT
403(  623):KEY_SRSUME
404(  624):KEY_SSAVE
405(  625):KEY_SSUSPEND
406(  626):KEY_SUNDO
407(  627):KEY_SUSPEND
408(  630):KEY_UNDO
409(  631):KEY_MOUSE
410(  632):KEY_RESIZE
